year,month,zipcode,avg_hours,count
2024,1,00000,26.76,1
2024,1,10000,18.07,25
2024,1,10001,36.17,862
2024,1,10002,34.17,1584
2024,1,10003,16.14,3706
2024,1,10004,14.96,327
2024,1,10005,26.69,155
2024,1,10006,34.53,124
2024,1,10007,11.96,284
2024,1,10009,38.57,1304
2024,1,10010,45.79,470
2024,1,10011,34.1,1201
2024,1,10012,37.64,873
2024,1,10013,41.0,650
2024,1,10014,41.33,755
2024,1,10016,40.14,1246
2024,1,10017,36.93,476
2024,1,10018,31.54,416
2024,1,10019,27.79,1731
2024,1,10020,50.33,16
2024,1,10021,40.66,497
2024,1,10022,42.49,855
2024,1,10023,174.99,1392
2024,1,10024,42.26,978
2024,1,10025,49.15,2054
2024,1,10026,49.19,1612
2024,1,10027,52.47,1886
2024,1,10028,44.05,560
2024,1,10029,56.08,1388
2024,1,10030,39.39,1502
2024,1,10031,50.24,2525
2024,1,10032,51.92,2377
2024,1,10033,42.52,2214
2024,1,10034,46.71,1904
2024,1,10035,47.34,1177
2024,1,10036,44.78,1051
2024,1,10037,70.92,602
2024,1,10038,25.7,445
2024,1,10039,51.43,1230
2024,1,10040,46.13,1531
2024,1,10041,189.22,1
2024,1,10044,30.83,60
2024,1,10045,0.27,1
2024,1,10065,23.93,472
2024,1,10069,28.56,31
2024,1,10075,39.33,460
2024,1,10103,0.31,2
2024,1,10105,7.84,2
2024,1,10106,0.73,2
2024,1,10107,0.86,15
2024,1,10111,0.29,2
2024,1,10112,0.0,1
2024,1,10118,0.2,1
2024,1,10119,0.43,2
2024,1,10120,17.69,3
2024,1,10121,85.27,12
2024,1,10128,38.05,628
2024,1,10151,34.01,3
2024,1,10153,1.89,1
2024,1,10154,0.6,5
2024,1,10155,24.96,2
2024,1,10162,0.51,1
2024,1,10165,20.31,1
2024,1,10166,6.28,1
2024,1,10167,31.32,1
2024,1,10168,108.6,7
2024,1,10169,11.32,35
2024,1,10170,51.23,4
2024,1,10172,0.72,2
2024,1,10178,33.74,2
2024,1,10179,21.09,1
2024,1,10271,1.6,14
2024,1,10278,0.4,28
2024,1,10279,0.94,6
2024,1,10280,213.66,60
2024,1,10282,29.21,57
2024,1,10301,57.81,926
2024,1,10302,42.97,416
2024,1,10303,43.79,308
2024,1,10304,56.52,1018
2024,1,10305,32.69,663
2024,1,10306,38.73,794
2024,1,10307,22.59,183
2024,1,10308,43.32,287
2024,1,10309,24.18,674
2024,1,10310,25.64,411
2024,1,10312,43.21,828
2024,1,10314,26.78,1406
2024,1,10451,54.33,1785
2024,1,10452,56.07,3223
2024,1,10453,56.18,2803
2024,1,10454,54.42,1084
2024,1,10455,47.08,1676
2024,1,10456,49.37,3454
2024,1,10457,51.11,3881
2024,1,10458,58.68,3249
2024,1,10459,66.84,1764
2024,1,10460,52.41,2217
2024,1,10461,34.92,1984
2024,1,10462,43.63,2760
2024,1,10463,36.91,2398
2024,1,10464,59.14,169
2024,1,10465,32.58,919
2024,1,10466,38.77,2511
2024,1,10467,45.26,3894
2024,1,10468,49.26,3605
2024,1,10469,39.79,1424
2024,1,10470,30.65,860
2024,1,10471,37.46,709
2024,1,10472,50.87,1910
2024,1,10473,40.97,1236
2024,1,10474,59.89,681
2024,1,10475,49.93,242
2024,1,10522,12.15,1
2024,1,11001,52.75,57
2024,1,11004,54.16,137
2024,1,11005,58.55,2
2024,1,11040,23.13,26
2024,1,11101,25.76,2188
2024,1,11102,26.22,988
2024,1,11103,30.93,1121
2024,1,11104,42.86,851
2024,1,11105,37.97,1048
2024,1,11106,31.67,2075
2024,1,11109,25.38,39
2024,1,11201,17.45,4027
2024,1,11203,46.56,1939
2024,1,11204,35.78,1608
2024,1,11205,26.63,1419
2024,1,11206,45.27,1678
2024,1,11207,38.55,3168
2024,1,11208,47.29,2674
2024,1,11209,34.58,2216
2024,1,11210,36.53,1294
2024,1,11211,44.82,1810
2024,1,11212,46.35,1893
2024,1,11213,54.98,2459
2024,1,11214,31.4,2542
2024,1,11215,31.38,2420
2024,1,11216,46.55,2155
2024,1,11217,31.48,1542
2024,1,11218,36.63,1880
2024,1,11219,34.51,1396
2024,1,11220,47.71,2312
2024,1,11221,43.38,2380
2024,1,11222,31.61,1622
2024,1,11223,31.24,2036
2024,1,11224,38.61,737
2024,1,11225,55.78,2300
2024,1,11226,45.18,4260
2024,1,11228,28.09,828
2024,1,11229,23.12,2186
2024,1,11230,30.83,2509
2024,1,11231,34.35,1434
2024,1,11232,40.53,909
2024,1,11233,53.25,2130
2024,1,11234,25.93,1808
2024,1,11235,27.38,2217
2024,1,11236,40.41,1802
2024,1,11237,39.5,1529
2024,1,11238,46.68,1759
2024,1,11239,5.43,1635
2024,1,11241,2.33,2
2024,1,11249,32.97,728
2024,1,11251,46.25,2
2024,1,11354,31.58,968
2024,1,11355,31.49,1406
2024,1,11356,19.85,736
2024,1,11357,44.29,699
2024,1,11358,38.0,696
2024,1,11359,2.37,3
2024,1,11360,24.85,243
2024,1,11361,36.7,565
2024,1,11362,32.77,285
2024,1,11363,69.74,103
2024,1,11364,43.75,366
2024,1,11365,23.02,916
2024,1,11366,7.45,1140
2024,1,11367,43.05,741
2024,1,11368,24.86,2297
2024,1,11369,25.87,900
2024,1,11370,30.06,646
2024,1,11372,29.89,1621
2024,1,11373,31.18,2148
2024,1,11374,32.16,1019
2024,1,11375,28.86,1583
2024,1,11377,24.33,2611
2024,1,11378,17.85,1535
2024,1,11379,24.56,1100
2024,1,11385,25.78,2852
2024,1,11411,22.29,349
2024,1,11412,50.81,644
2024,1,11413,36.76,621
2024,1,11414,114.92,816
2024,1,11415,46.07,456
2024,1,11416,26.46,601
2024,1,11417,28.15,741
2024,1,11418,21.68,934
2024,1,11419,27.25,1207
2024,1,11420,31.35,1143
2024,1,11421,19.09,1409
2024,1,11422,48.09,472
2024,1,11423,39.1,616
2024,1,11426,38.9,263
2024,1,11427,40.92,459
2024,1,11428,29.78,306
2024,1,11429,33.0,405
2024,1,11430,121.9,101
2024,1,11432,36.24,1429
2024,1,11433,31.28,1097
2024,1,11434,39.22,983
2024,1,11435,31.36,1551
2024,1,11436,31.79,432
2024,1,11691,38.63,1282
2024,1,11692,38.95,495
2024,1,11693,29.3,271
2024,1,11694,35.61,472
2024,1,11697,62.52,3
2024,1,11725,22.61,1
2024,1,11747,22.55,1
2024,1,11751,71.15,1
2024,1,12345,0.48,2
2024,1,84117,24.27,1
2024,1,ALL,40.01,234785
2024,2,02062,735.91,1
2024,2,10000,61.07,17
2024,2,10001,58.6,966
2024,2,10002,73.02,1857
2024,2,10003,63.44,1539
2024,2,10004,61.55,300
2024,2,10005,74.09,395
2024,2,10006,39.54,141
2024,2,10007,36.33,329
2024,2,10009,57.45,1263
2024,2,10010,85.53,449
2024,2,10011,68.65,1289
2024,2,10012,66.71,912
2024,2,10013,78.85,717
2024,2,10014,73.01,854
2024,2,10016,78.38,1254
2024,2,10017,61.93,393
2024,2,10018,53.93,582
2024,2,10019,50.29,1578
2024,2,10020,60.85,26
2024,2,10021,56.7,579
2024,2,10022,51.64,782
2024,2,10023,75.65,869
2024,2,10024,83.94,957
2024,2,10025,75.48,2192
2024,2,10026,64.63,1397
2024,2,10027,94.94,1795
2024,2,10028,71.12,655
2024,2,10029,90.96,1292
2024,2,10030,100.16,1339
2024,2,10031,84.07,2211
2024,2,10032,89.96,2247
2024,2,10033,93.72,1773
2024,2,10034,100.99,1778
2024,2,10035,99.19,958
2024,2,10036,63.43,987
2024,2,10037,130.09,561
2024,2,10038,34.97,486
2024,2,10039,115.07,1063
2024,2,10040,79.36,1557
2024,2,10041,154.83,1
2024,2,10044,87.42,40
2024,2,10045,0.46,1
2024,2,10048,1.07,2
2024,2,10065,57.25,532
2024,2,10069,31.53,31
2024,2,10075,57.47,419
2024,2,10103,115.41,4
2024,2,10105,5.54,4
2024,2,10106,0.48,1
2024,2,10107,1.12,20
2024,2,10110,4.5,1
2024,2,10111,0.48,1
2024,2,10115,0.37,1
2024,2,10118,12.89,3
2024,2,10119,1.67,1
2024,2,10120,0.83,2
2024,2,10121,39.67,7
2024,2,10122,0.28,1
2024,2,10123,120.58,2
2024,2,10128,66.49,713
2024,2,10152,0.51,1
2024,2,10153,196.63,4
2024,2,10162,38.41,4
2024,2,10165,7.28,2
2024,2,10166,0.51,1
2024,2,10167,1.63,1
2024,2,10168,0.69,8
2024,2,10169,34.41,44
2024,2,10171,290.24,1
2024,2,10172,21.43,1
2024,2,10173,0.4,1
2024,2,10174,1.51,1
2024,2,10176,296.0,1
2024,2,10178,35.99,1
2024,2,10179,15.65,2
2024,2,10271,1.54,8
2024,2,10278,7.67,20
2024,2,10279,98.42,3
2024,2,10280,40.47,24
2024,2,10282,48.98,21
2024,2,10301,79.7,892
2024,2,10302,64.18,361
2024,2,10303,60.83,385
2024,2,10304,76.25,710
2024,2,10305,70.8,691
2024,2,10306,83.18,819
2024,2,10307,50.66,185
2024,2,10308,63.9,279
2024,2,10309,62.89,487
2024,2,10310,53.36,415
2024,2,10312,69.09,859
2024,2,10314,57.76,1200
2024,2,10451,127.56,1617
2024,2,10452,127.24,3077
2024,2,10453,139.91,2555
2024,2,10454,113.78,1036
2024,2,10455,132.85,1377
2024,2,10456,125.97,3143
2024,2,10457,126.58,3524
2024,2,10458,122.97,3388
2024,2,10459,137.44,1602
2024,2,10460,116.53,2009
2024,2,10461,71.35,1782
2024,2,10462,103.92,2330
2024,2,10463,97.58,2382
2024,2,10464,59.6,120
2024,2,10465,63.88,933
2024,2,10466,78.58,2221
2024,2,10467,105.88,3844
2024,2,10468,115.18,3629
2024,2,10469,87.96,1379
2024,2,10470,65.82,791
2024,2,10471,49.03,644
2024,2,10472,103.98,1784
2024,2,10473,82.62,1105
2024,2,10474,139.53,551
2024,2,10475,134.93,262
2024,2,10804,23.01,2
2024,2,11001,20.92,92
2024,2,11004,79.08,108
2024,2,11005,30.44,3
2024,2,11040,51.68,34
2024,2,11101,38.8,2138
2024,2,11102,55.02,823
2024,2,11103,50.29,1001
2024,2,11104,64.28,674
2024,2,11105,50.48,863
2024,2,11106,56.45,1363
2024,2,11109,20.85,38
2024,2,11201,37.29,3419
2024,2,11203,91.84,1761
2024,2,11204,74.24,1456
2024,2,11205,60.01,1192
2024,2,11206,91.0,1706
2024,2,11207,99.92,2603
2024,2,11208,96.41,2452
2024,2,11209,73.52,1919
2024,2,11210,81.57,1365
2024,2,11211,93.23,1676
2024,2,11212,124.09,2009
2024,2,11213,103.74,1952
2024,2,11214,45.96,2332
2024,2,11215,52.84,2294
2024,2,11216,125.4,2001
2024,2,11217,41.89,1454
2024,2,11218,57.5,1735
2024,2,11219,67.32,1395
2024,2,11220,65.95,1920
2024,2,11221,85.69,2089
2024,2,11222,74.19,1762
2024,2,11223,47.93,1927
2024,2,11224,135.63,670
2024,2,11225,94.62,2338
2024,2,11226,120.29,3718
2024,2,11228,42.85,844
2024,2,11229,42.12,2205
2024,2,11230,75.73,2221
2024,2,11231,79.16,948
2024,2,11232,76.36,861
2024,2,11233,115.43,1901
2024,2,11234,46.46,1808
2024,2,11235,47.81,2026
2024,2,11236,89.17,1440
2024,2,11237,56.68,1603
2024,2,11238,80.5,1876
2024,2,11239,11.2,1290
2024,2,11241,9.14,7
2024,2,11249,75.19,789
2024,2,11251,5.21,2
2024,2,11354,76.92,943
2024,2,11355,72.07,1235
2024,2,11356,41.81,878
2024,2,11357,56.91,682
2024,2,11358,57.74,697
2024,2,11359,9.54,14
2024,2,11360,45.75,204
2024,2,11361,46.96,612
2024,2,11362,71.24,208
2024,2,11363,93.77,121
2024,2,11364,67.95,449
2024,2,11365,52.5,846
2024,2,11366,14.74,1629
2024,2,11367,82.92,652
2024,2,11368,39.37,2189
2024,2,11369,51.13,784
2024,2,11370,70.2,657
2024,2,11371,35.41,1
2024,2,11372,61.31,1596
2024,2,11373,60.47,1950
2024,2,11374,63.45,1032
2024,2,11375,44.66,1649
2024,2,11377,50.07,2152
2024,2,11378,36.94,1567
2024,2,11379,46.54,1216
2024,2,11385,40.95,2822
2024,2,11411,62.2,361
2024,2,11412,86.14,614
2024,2,11413,73.47,641
2024,2,11414,49.05,462
2024,2,11415,78.92,453
2024,2,11416,42.43,647
2024,2,11417,48.78,936
2024,2,11418,68.42,887
2024,2,11419,45.85,1212
2024,2,11420,51.87,1181
2024,2,11421,32.83,1158
2024,2,11422,82.62,467
2024,2,11423,75.3,559
2024,2,11426,73.47,271
2024,2,11427,108.26,471
2024,2,11428,92.5,349
2024,2,11429,71.43,456
2024,2,11430,143.75,76
2024,2,11432,96.98,1448
2024,2,11433,48.42,1040
2024,2,11434,89.51,1039
2024,2,11435,74.94,1608
2024,2,11436,60.2,480
2024,2,11691,100.15,1081
2024,2,11692,111.8,330
2024,2,11693,73.38,250
2024,2,11694,57.7,468
2024,2,11697,73.65,5
2024,2,11706,731.69,1
2024,2,11735,734.91,1
2024,2,11753,755.35,1
2024,2,12345,20.72,1
2024,2,33394,20.08,1
2024,2,33496,735.75,1
2024,2,56377,383.84,1
2024,2,77478,68.43,1
2024,2,ALL,79.22,218492
2024,3,07110,18.78,1
2024,3,07728,11.77,1
2024,3,10000,320.18,47
2024,3,10001,81.08,1179
2024,3,10002,88.86,1996
2024,3,10003,129.01,1476
2024,3,10004,28.12,426
2024,3,10005,85.82,163
2024,3,10006,44.19,213
2024,3,10007,51.04,383
2024,3,10009,96.92,1293
2024,3,10010,125.26,429
2024,3,10011,95.98,1359
2024,3,10012,104.16,874
2024,3,10013,97.43,812
2024,3,10014,82.05,1055
2024,3,10016,259.46,1656
2024,3,10017,82.28,588
2024,3,10018,78.38,654
2024,3,10019,81.03,1918
2024,3,10020,155.97,29
2024,3,10021,141.9,613
2024,3,10022,114.28,686
2024,3,10023,563.9,2923
2024,3,10024,122.98,1097
2024,3,10025,129.44,2191
2024,3,10026,121.55,1574
2024,3,10027,134.36,1951
2024,3,10028,134.45,778
2024,3,10029,121.13,1589
2024,3,10030,149.07,1490
2024,3,10031,121.73,2672
2024,3,10032,127.67,2357
2024,3,10033,125.76,1741
2024,3,10034,92.46,2072
2024,3,10035,146.27,1097
2024,3,10036,96.68,1185
2024,3,10037,176.61,757
2024,3,10038,80.14,568
2024,3,10039,140.69,1002
2024,3,10040,104.07,1809
2024,3,10041,23.24,1
2024,3,10044,266.39,19
2024,3,10045,47.54,3
2024,3,10048,41.84,2
2024,3,10055,13.45,1
2024,3,10065,123.14,580
2024,3,10069,86.93,48
2024,3,10075,127.16,387
2024,3,10103,1.08,2
2024,3,10105,35.23,15
2024,3,10106,0.16,1
2024,3,10107,0.79,4
2024,3,10110,0.3,2
2024,3,10111,31.7,3
2024,3,10112,277.1,3
2024,3,10115,142.9,2
2024,3,10118,0.0,1
2024,3,10119,140.55,5
2024,3,10120,0.35,5
2024,3,10121,199.44,19
2024,3,10123,3.18,1
2024,3,10128,111.44,862
2024,3,10152,13.71,2
2024,3,10153,9.94,2
2024,3,10154,15.83,2
2024,3,10158,0.19,2
2024,3,10165,2.45,1
2024,3,10167,10.91,5
2024,3,10168,63.6,3
2024,3,10169,21.93,29
2024,3,10170,3.87,2
2024,3,10171,31.81,1
2024,3,10172,35.66,4
2024,3,10173,1328.93,1
2024,3,10174,0.71,2
2024,3,10175,1.06,1
2024,3,10176,20.0,1
2024,3,10178,149.4,1
2024,3,10271,1.46,7
2024,3,10278,2.47,19
2024,3,10279,84.71,3
2024,3,10280,371.12,56
2024,3,10281,1.11,2
2024,3,10282,86.66,41
2024,3,10301,119.34,1001
2024,3,10302,79.28,430
2024,3,10303,91.06,428
2024,3,10304,129.69,1090
2024,3,10305,73.05,765
2024,3,10306,70.42,907
2024,3,10307,74.99,232
2024,3,10308,83.01,403
2024,3,10309,61.09,708
2024,3,10310,81.32,455
2024,3,10312,69.51,1013
2024,3,10314,64.38,1523
2024,3,10451,159.02,1762
2024,3,10452,121.03,3090
2024,3,10453,137.78,2690
2024,3,10454,136.88,1149
2024,3,10455,126.72,1663
2024,3,10456,134.04,3532
2024,3,10457,131.52,3503
2024,3,10458,146.9,3146
2024,3,10459,127.48,1696
2024,3,10460,129.73,2204
2024,3,10461,76.48,2069
2024,3,10462,115.55,2501
2024,3,10463,82.89,2362
2024,3,10464,61.5,143
2024,3,10465,51.61,1164
2024,3,10466,92.39,2280
2024,3,10467,122.68,3740
2024,3,10468,125.08,3572
2024,3,10469,92.73,1690
2024,3,10470,56.43,900
2024,3,10471,155.44,707
2024,3,10472,118.87,1845
2024,3,10473,111.14,1182
2024,3,10474,126.58,567
2024,3,10475,95.01,292
2024,3,11001,40.96,80
2024,3,11004,191.92,114
2024,3,11005,141.25,4
2024,3,11040,233.34,32
2024,3,11101,53.18,2377
2024,3,11102,86.85,1099
2024,3,11103,85.54,1251
2024,3,11104,103.33,646
2024,3,11105,67.25,1123
2024,3,11106,74.6,1796
2024,3,11109,7.13,48
2024,3,11201,71.18,3135
2024,3,11203,137.59,1786
2024,3,11204,76.19,1647
2024,3,11205,82.2,1382
2024,3,11206,145.11,2126
2024,3,11207,121.83,3227
2024,3,11208,82.33,2689
2024,3,11209,87.31,2069
2024,3,11210,155.9,1605
2024,3,11211,185.01,1931
2024,3,11212,152.9,2153
2024,3,11213,161.74,2195
2024,3,11214,86.72,2306
2024,3,11215,125.25,2200
2024,3,11216,156.99,1913
2024,3,11217,93.69,1711
2024,3,11218,89.83,2041
2024,3,11219,105.62,1509
2024,3,11220,112.07,2122
2024,3,11221,121.98,2685
2024,3,11222,93.25,1922
2024,3,11223,65.08,2083
2024,3,11224,144.54,682
2024,3,11225,139.32,2588
2024,3,11226,174.23,4182
2024,3,11228,79.46,823
2024,3,11229,62.57,2477
2024,3,11230,78.79,2512
2024,3,11231,140.06,1247
2024,3,11232,119.18,1091
2024,3,11233,127.54,1951
2024,3,11234,80.74,1859
2024,3,11235,97.13,2322
2024,3,11236,88.11,1659
2024,3,11237,96.35,1942
2024,3,11238,116.92,2062
2024,3,11239,16.13,1409
2024,3,11241,0.59,4
2024,3,11242,8.94,7
2024,3,11249,114.57,878
2024,3,11251,0.39,1
2024,3,11354,92.73,1013
2024,3,11355,83.48,1300
2024,3,11356,53.4,813
2024,3,11357,182.59,1055
2024,3,11358,77.42,756
2024,3,11359,0.35,7
2024,3,11360,69.0,274
2024,3,11361,83.26,793
2024,3,11362,96.19,282
2024,3,11363,101.57,159
2024,3,11364,82.63,572
2024,3,11365,48.3,1044
2024,3,11366,32.04,1077
2024,3,11367,101.96,734
2024,3,11368,53.11,2878
2024,3,11369,90.48,995
2024,3,11370,99.26,672
2024,3,11371,397.59,2
2024,3,11372,92.41,1736
2024,3,11373,52.81,2495
2024,3,11374,77.62,1217
2024,3,11375,56.28,1785
2024,3,11377,57.39,2367
2024,3,11378,42.48,1570
2024,3,11379,50.11,1161
2024,3,11385,68.9,3105
2024,3,11411,80.6,471
2024,3,11412,82.38,755
2024,3,11413,102.99,899
2024,3,11414,607.51,1703
2024,3,11415,105.43,488
2024,3,11416,52.41,808
2024,3,11417,65.51,811
2024,3,11418,65.05,1108
2024,3,11419,49.85,1721
2024,3,11420,81.59,1386
2024,3,11421,42.04,1481
2024,3,11422,84.82,508
2024,3,11423,91.94,732
2024,3,11426,102.26,306
2024,3,11427,96.75,400
2024,3,11428,85.2,438
2024,3,11429,68.65,542
2024,3,11430,283.76,114
2024,3,11432,102.71,1538
2024,3,11433,75.02,1210
2024,3,11434,83.43,1121
2024,3,11435,86.66,1451
2024,3,11436,47.28,589
2024,3,11553,783.89,1
2024,3,11575,93.93,1
2024,3,11691,98.6,1326
2024,3,11692,83.17,467
2024,3,11693,56.01,292
2024,3,11694,91.81,478
2024,3,11697,186.99,5
2024,3,11735,732.79,2
2024,3,11791,762.17,1
2024,3,15212,733.67,1
2024,3,17110,732.24,1
2024,3,17606,732.46,1
2024,3,19034,747.4,1
2024,3,92879,78.49,1
2024,3,ALL,112.99,244984
2024,4,00083,18.47,1
2024,4,07083,734.12,1
2024,4,07660,356.77,1
2024,4,10000,142.99,45
2024,4,10001,156.33,1225
2024,4,10002,163.3,2129
2024,4,10003,215.25,1998
2024,4,10004,45.54,478
2024,4,10005,139.97,278
2024,4,10006,42.18,212
2024,4,10007,80.08,461
2024,4,10009,215.64,1590
2024,4,10010,199.25,623
2024,4,10011,164.61,1760
2024,4,10012,136.19,1167
2024,4,10013,127.75,907
2024,4,10014,144.11,1313
2024,4,10016,162.07,1548
2024,4,10017,158.5,646
2024,4,10018,191.87,571
2024,4,10019,143.04,2281
2024,4,10020,415.0,27
2024,4,10021,188.07,850
2024,4,10022,225.2,814
2024,4,10023,239.43,3282
2024,4,10024,225.2,1306
2024,4,10025,193.78,2485
2024,4,10026,246.08,2002
2024,4,10027,177.82,2255
2024,4,10028,150.57,862
2024,4,10029,162.08,1771
